Turns complete,1
Commish drops,0

Player 1
GOD,Valéria
Tiles drawn,1
Tiles dropped,0
Tiles swapped,0
Tiles removed,0
Spells cast,0
Turns timed out,1

Player 2
Training dummy,Test character
Tiles drawn,0
Tiles dropped,0
Tiles swapped,0
Tiles removed,0
Spells cast,0
Turns timed out,0

